Club,club_logo_url
GwangJu FC,https://cdn.sofifa.net/teams/112258/60.png
Clube Sport Marítimo,https://cdn.sofifa.net/teams/1893/60.png
Al Raed,https://cdn.sofifa.net/teams/112392/60.png
D.C. United,https://cdn.sofifa.net/teams/688/60.png
Malm? FF,https://cdn.sofifa.net/teams/320/60.png
FC Utrecht,https://cdn.sofifa.net/teams/1903/60.png
Celtic,https://cdn.sofifa.net/teams/78/60.png
Lecce,https://cdn.sofifa.net/teams/347/60.png
Centro Atlético Fénix,https://cdn.sofifa.net/teams/111002/60.png
Nottingham Forest,https://cdn.sofifa.net/teams/14/60.png
Fútbol Club Juárez,https://cdn.sofifa.net/teams/113134/60.png
Cerezo Osaka,https://cdn.sofifa.net/teams/101148/60.png
Ettifaq FC,https://cdn.sofifa.net/teams/112096/60.png
Hajduk Split,https://cdn.sofifa.net/teams/263/60.png
Austin FC,https://cdn.sofifa.net/teams/114161/60.png
Urawa Red Diamonds,https://cdn.sofifa.net/teams/111575/60.png
Vancouver Whitecaps FC,https://cdn.sofifa.net/teams/101112/60.png
Independiente del Valle,https://cdn.sofifa.net/teams/112908/60.png
Vélez Sarsfield,https://cdn.sofifa.net/teams/101088/60.png
Reading,https://cdn.sofifa.net/teams/1793/60.png
Br?ndby IF,https://cdn.sofifa.net/teams/269/60.png
Ulsan Hyundai FC,https://cdn.sofifa.net/teams/1473/60.png
FC Lorient,https://cdn.sofifa.net/teams/217/60.png
Empoli,https://cdn.sofifa.net/teams/1746/60.png
Mazatlán Futbol Club,https://cdn.sofifa.net/teams/114899/60.png
Deportivo Cali,https://cdn.sofifa.net/teams/101102/60.png
Club Atlético Talleres,https://cdn.sofifa.net/teams/112670/60.png
VfL Bochum 1848,https://cdn.sofifa.net/teams/160/60.png
Club Olimpia,https://cdn.sofifa.net/teams/101108/60.png
Argentinos Juniors,https://cdn.sofifa.net/teams/111019/60.png
FC Cincinnati,https://cdn.sofifa.net/teams/113149/60.png
New York Red Bulls,https://cdn.sofifa.net/teams/689/60.png
Defensa y Justicia,https://cdn.sofifa.net/teams/111710/60.png
Estudiantes de La Plata,https://cdn.sofifa.net/teams/101083/60.png
Daegu FC,https://cdn.sofifa.net/teams/2056/60.png
Al Taawoun,https://cdn.sofifa.net/teams/112393/60.png
Club Atlético Huracán,https://cdn.sofifa.net/teams/111711/60.png
Al Batin,https://cdn.sofifa.net/teams/112990/60.png
Go Ahead Eagles,https://cdn.sofifa.net/teams/100632/60.png
Bahia,https://cdn.sofifa.net/teams/1598/60.png
Atlético Clube Goianiense,https://cdn.sofifa.net/teams/112119/60.png
Middlesbrough,https://cdn.sofifa.net/teams/12/60.png
Damac FC,https://cdn.sofifa.net/teams/113217/60.png
Club Atlético Pe?arol,https://cdn.sofifa.net/teams/101110/60.png
Ferencvárosi TC,https://cdn.sofifa.net/teams/1874/60.png
Aarhus GF,https://cdn.sofifa.net/teams/271/60.png
Junior FC,https://cdn.sofifa.net/teams/101101/60.png
N.E.C. Nijmegen,https://cdn.sofifa.net/teams/1910/60.png
?aykur Rizespor,https://cdn.sofifa.net/teams/101037/60.png
Chongqing Liangjiang Athletic,https://cdn.sofifa.net/teams/112165/60.png
Birmingham City,https://cdn.sofifa.net/teams/88/60.png
Holstein Kiel,https://cdn.sofifa.net/teams/576/60.png
Tianjin Jinmen Tiger FC,https://cdn.sofifa.net/teams/111774/60.png
Real Zaragoza,https://cdn.sofifa.net/teams/244/60.png
Perth Glory,https://cdn.sofifa.net/teams/111399/60.png
Rosenborg BK,https://cdn.sofifa.net/teams/298/60.png
Club Deportivo Guadalajara,https://cdn.sofifa.net/teams/1880/60.png
SpVgg Greuther Fürth,https://cdn.sofifa.net/teams/165/60.png
FC Seoul,https://cdn.sofifa.net/teams/982/60.png
Sydney FC,https://cdn.sofifa.net/teams/111400/60.png
Adelaide United,https://cdn.sofifa.net/teams/111393/60.png
FC Twente,https://cdn.sofifa.net/teams/1908/60.png
Club Necaxa,https://cdn.sofifa.net/teams/101121/60.png
Oud-Heverlee Leuven,https://cdn.sofifa.net/teams/100087/60.png
Hebei FC,https://cdn.sofifa.net/teams/112978/60.png
Millwall,https://cdn.sofifa.net/teams/97/60.png
Club Deportivo Jorge Wilstermann,https://cdn.sofifa.net/teams/110974/60.png
Real Salt Lake,https://cdn.sofifa.net/teams/111065/60.png
Al Faisaly,https://cdn.sofifa.net/teams/112389/60.png
Gazi?ehir Gaziantep F.K.,https://cdn.sofifa.net/teams/110776/60.png
Blackburn Rovers,https://cdn.sofifa.net/teams/3/60.png
Swansea City,https://cdn.sofifa.net/teams/1960/60.png
Nashville SC,https://cdn.sofifa.net/teams/114162/60.png
LASK Linz,https://cdn.sofifa.net/teams/252/60.png
1. FC Heidenheim 1846,https://cdn.sofifa.net/teams/111235/60.png
Cardiff City,https://cdn.sofifa.net/teams/1961/60.png
Kaizer Chiefs,https://cdn.sofifa.net/teams/110929/60.png
FK Bod?/Glimt,https://cdn.sofifa.net/teams/918/60.png
Hamburger SV,https://cdn.sofifa.net/teams/28/60.png
Colorado Rapids,https://cdn.sofifa.net/teams/694/60.png
Royal Charleroi S.C.,https://cdn.sofifa.net/teams/670/60.png
KAS Eupen,https://cdn.sofifa.net/teams/2013/60.png
Club Atlético de San Luis,https://cdn.sofifa.net/teams/112678/60.png
Gil Vicente FC,https://cdn.sofifa.net/teams/1888/60.png
LDU Quito,https://cdn.sofifa.net/teams/110986/60.png
San Jose Earthquakes,https://cdn.sofifa.net/teams/111928/60.png
Al Ain FC,https://cdn.sofifa.net/teams/111701/60.png
Cuiabá,https://cdn.sofifa.net/teams/115530/60.png
Lech Poznań,https://cdn.sofifa.net/teams/873/60.png
Málaga CF,https://cdn.sofifa.net/teams/573/60.png
SV Zulte Waregem,https://cdn.sofifa.net/teams/15005/60.png
Standard de Liège,https://cdn.sofifa.net/teams/232/60.png
G?ztepe SK,https://cdn.sofifa.net/teams/101026/60.png
Gallos Blancos de Querétaro,https://cdn.sofifa.net/teams/110150/60.png
Orlando Pirates,https://cdn.sofifa.net/teams/110930/60.png
RZ Pellets Wolfsberger AC,https://cdn.sofifa.net/teams/111822/60.png
Wis?a Kraków,https://cdn.sofifa.net/teams/1873/60.png
Górnik Zabrze,https://cdn.sofifa.net/teams/420/60.png
Yukatel Kayserispor,https://cdn.sofifa.net/teams/101020/60.png
Shijiazhuang Ever Bright F.C.,https://cdn.sofifa.net/teams/112985/60.png
Boavista FC,https://cdn.sofifa.net/teams/1898/60.png
Dijon FCO,https://cdn.sofifa.net/teams/110569/60.png
Club Atlético Banfield,https://cdn.sofifa.net/teams/110404/60.png
Yeni Malatyaspor,https://cdn.sofifa.net/teams/113259/60.png
Santa Clara,https://cdn.sofifa.net/teams/1438/60.png
San Lorenzo de Almagro,https://cdn.sofifa.net/teams/1013/60.png
Kasimpa?a SK,https://cdn.sofifa.net/teams/111339/60.png
FC Erzgebirge Aue,https://cdn.sofifa.net/teams/506/60.png
Sheffield Wednesday,https://cdn.sofifa.net/teams/1807/60.png
Hannover 96,https://cdn.sofifa.net/teams/485/60.png
Ataka? Hatayspor,https://cdn.sofifa.net/teams/101028/60.png
Benevento,https://cdn.sofifa.net/teams/112026/60.png
Houston Dynamo,https://cdn.sofifa.net/teams/698/60.png
Belenenses SAD,https://cdn.sofifa.net/teams/1889/60.png
Al Fayha,https://cdn.sofifa.net/teams/113057/60.png
Montevideo City Torque,https://cdn.sofifa.net/teams/113143/60.png
AJ Auxerre,https://cdn.sofifa.net/teams/57/60.png
Queens Park Rangers,https://cdn.sofifa.net/teams/15/60.png
FC Tokyo,https://cdn.sofifa.net/teams/101150/60.png
Real Oviedo,https://cdn.sofifa.net/teams/110827/60.png
Kawasaki Frontale,https://cdn.sofifa.net/teams/111730/60.png
Bristol City,https://cdn.sofifa.net/teams/1919/60.png
AC Monza,https://cdn.sofifa.net/teams/111811/60.png
FC Dallas,https://cdn.sofifa.net/teams/695/60.png
Aalborg BK,https://cdn.sofifa.net/teams/820/60.png
K Beerschot VA,https://cdn.sofifa.net/teams/675/60.png
CS Emelec,https://cdn.sofifa.net/teams/110984/60.png
Al Tai,https://cdn.sofifa.net/teams/112572/60.png
SK Rapid Wien,https://cdn.sofifa.net/teams/254/60.png
Wuhan FC,https://cdn.sofifa.net/teams/112541/60.png
Yokohama F. Marinos,https://cdn.sofifa.net/teams/101151/60.png
Clermont Foot 63,https://cdn.sofifa.net/teams/1815/60.png
?ttifak Holding Konyaspor,https://cdn.sofifa.net/teams/101033/60.png
Suwon Samsung Bluewings,https://cdn.sofifa.net/teams/983/60.png
Amiens SC,https://cdn.sofifa.net/teams/1816/60.png
Atlético Nacional,https://cdn.sofifa.net/teams/101100/60.png
Al Fateh,https://cdn.sofifa.net/teams/112390/60.png
Unión de Santa Fe,https://cdn.sofifa.net/teams/111716/60.png
